name,region,num_SNPs,type,length
miR5017,base_two,0,LTB,25
miR5024,base_two,119,SLTB,25
miR5654,base_two,0,LTB,25
miR822,base_two,509,SBTL,25
miR824,base_two,4,Bidirectional,25
miR831,base_two,22,BTL,25
miR833a,base_two,69,LTB,25
miR841a,base_two,36,LTB,25
miR864,base_two,6,BTL,25
miR868,base_two,1,Bidirectional,25
miR851,base_two,0,BTL,25
miR835,base_two,0,SLTB,25
miR840,base_two,1137,SLTB,25
miR472,base_two,0,Bidirectional,25
miR844,base_two,2,Bidirectional,25
