name,base_one,miRNA_one,loop,miRNA_two,base_two
miR779.2,9560779,9560804,9560826,9560866,9560887
miR779.1,9560739,9560764,9560784,9560902,9560923
miR405a,9635077,9635052,9635029,9635024,9635000
miR5016,9919986,9920011,9920032,9920152,9920173
miR5995b,10026954,10026979,10027000,10027012,10027033
miR5595a,10027055,10027030,10027009,10026996,10026975
miR5019,10403222,10403247,10403268,10403335,10403356
miR836,10634587,10634562,10634538,10634354,10634330
miR825,11159688,11159713,11159735,11159774,11159795
miR172a,11943035,11943010,11942989,11942938,11942917
miR5021,11974866,11974841,11974821,11974762,11974740
miR5637,12270386,12270361,12270340,12270209,12270187
miR417,13708867,13708842,13708819,13708787,13708766
miR407,13866251,13866276,13866297,13866376,13866397
miR399d,14443089,14443064,14443042,14443008,14442987
miR399e,14443491,14443516,14443538,14443582,14443603
miR399f,14444984,14445009,14445031,14445084,14445105
miR1886.1,15611848,15611873,15611894,15611962,15611983
miR8121,16588125,16588100,16588076,16588000,16587976
miR5662,16798561,16798586,16798606,16798851,16798871
miR8171,16890441,16890466,16890487,16890537,16890557
miR319c,17029687,17029712,17029733,17029870,17029891
miR778,17349593,17349568,17349547,17349461,17349440
miR156j,17589110,17589085,17589065,17589040,17589018
miR5655,18902598,18902623,18902644,18902935,18902956
miR159c,18994619,18994644,18994664,18994826,18994847
miR164a,19520745,19520770,19520791,19520829,19520850
miR5650,19686934,19686959,19686980,19687019,19687040
miR172c,3599915,3599890,3599869,3599811,3599790
miR823,4496936,4496911,4496890,4496846,4496825
miR5023,5497115,5497090,5497069,5497033,5497012
miR782,5500023,5500048,5500069,5500118,5500139
miR418,6516200,6516225,6516246,6516265,6516286
miR853,8346391,8346416,8346438,8346589,8346610
miR8169,8836238,8836263,8836288,8836359,8836380
miR169i,9872151,9872126,9872105,9872016,9871997
miR169j,9872528,9872503,9872482,9872373,9872354
miR169k,9875720,9875695,9875674,9875585,9875566
miR169l,9876085,9876060,9876039,9875929,9875910
miR169m,9878363,9878338,9878317,9878226,9878207
miR169n,9878735,9878710,9878689,9878579,9878560
miR5997,10706782,10706807,10706828,10706868,10706889
miR8183,11747844,11747819,11747798,11747744,11747723
miR5642a,14196763,14196788,14196809,14197116,14197136
miR5645c,14742406,14742431,14742452,14742776,14742797
miR5638a,15337120,15337095,15337074,15336797,15336776
miR849,16072608,16072583,16072562,16072520,16072499
miR8165,16538621,16538596,16538575,16538530,16538509
miR8174,16589538,16589513,16589492,16589451,16589430
miR5651,17178464,17178489,17178510,17178548,17178569
miR2933b,17402863,17402838,17402816,17402815,17402793
miR5645a,17418795,17418820,17418840,17419159,17419179
miR8167b,17470042,17470017,17469994,17469967,17469945
miR843,17742122,17742147,17742168,17742235,17742256
miR8167c,18843745,18843720,18843697,18843670,18843648
miR5633,19544760,19544785,19544806,19545055,19545075
miR771,19659427,19659402,19659380,19659331,19659310
miR827,22122907,22122882,22122861,22122831,22122810
miR1888b,22537283,22537308,22537329,22537375,22537396
miR8182,22678141,22678166,22678188,22678246,22678268
miR167b,23406152,23406177,23406198,23406247,23406270
miR165b,370013,369988,369967,369876,369855
miR5635d,1023941,1023966,1023987,1024077,1024098
miR2936,1046994,1046969,1046947,1046845,1046822
miR826a,1340503,1340528,1340549,1340589,1340610
miR826b,1340627,1340602,1340581,1340550,1340529
miR447a-3p,1528336,1528311,1528290,1528211,1528189
miR447a.2,1528378,1528353,1528332,1528168,1528147
miR447b,1535627,1535602,1535581,1535503,1535481
miR3932a,2178990,2179015,2179036,2179089,2179110
miR397a,2625935,2625960,2625981,2626028,2626049
miR405d,2789746,2789721,2789698,2789693,2789669
miR5645b,4889462,4889487,4889507,4889831,4889851
miR401,5020404,5020379,5020358,5020346,5020327
miR5660,5292793,5292768,5292747,5292695,5292674
miR5645e,5321230,5321255,5321275,5321598,5321618
miR5028,6546814,6546789,6546768,6546701,6546680
miR5020b,6787153,6787128,6787107,6787044,6787023
miR5020a,6791446,6791421,6791400,6791364,6791343
miR8172,7102617,7102592,7102571,7102525,7102504
miR8179,7161975,7161950,7161929,7161892,7161871
miR5026,7844527,7844552,7844573,7844612,7844633
miR850,7845731,7845756,7845778,7845860,7845881
miR857,7878570,7878545,7878524,7878218,7878197
miR397b,7878775,7878750,7878729,7878679,7878658
miR5996,7882894,7882869,7882847,7882804,7882783
miR852,8336194,8336219,8336240,8336302,8336323
miR4221,8460511,8460536,8460558,8460638,8460660
miR780.1,8504310,8504285,8504264,8504186,8504165
miR780.2,8504332,8504307,8504285,8504165,8504144
miR160b,9888961,9888986,9889007,9889047,9889069
miR5661,10449306,10449331,10449352,10449389,10449410
miR4240,10711757,10711732,10711711,10711607,10711586
miR4239,11368747,11368772,11368793,11368833,11368854
miR1887,11370244,11370269,11370290,11370301,11370322
miR867,11375362,11375387,11375408,11375439,11375460
miR8176,11795174,11795199,11795220,11795228,11795251
miR845b,12214174,12214149,12214128,12214107,12214085
miR845a,12217539,12217514,12217493,12217477,12217456
miR319a,12352935,12352960,12352981,12353109,12353130
miR5635c,13316929,13316904,13316883,13316794,13316773
miR828,13846995,13847020,13847042,13847093,13847115
miR5634,14982297,14982322,14982343,14982525,14982546
miR419,15660348,15660373,15660394,15660457,15660475
miR8178,18087260,18087285,18087306,18087344,18087365
miR5658,18485554,18485529,18485508,18485457,18485436
miR10515,951449,951424,951402,951360,951339
miR834,2641645,2641620,2641599,2641497,2641476
miR166c,2838627,2838652,2838673,2838737,2838758
miR166d,2840605,2840630,2840651,2840708,2840729
miR5998b,3247423,3247398,3247377,3247279,3247258
miR5998a,3247237,3247262,3247283,3247380,3247401
miR8184,3312080,3312055,3312034,3311994,3311973
miR5629,3802799,3802824,3802846,3802933,3802955
miR156e,3867188,3867213,3867233,3867290,3867311
miR848,4479561,4479536,4479515,4479469,4479447
miR5635a,6926136,6926161,6926182,6926272,6926293
miR8167d,7057134,7057159,7057182,7057210,7057232
miR5631,7122710,7122685,7122664,7122586,7122565
miR1888a,7168854,7168879,7168900,7168944,7168965
miR8173,7478692,7478667,7478642,7478592,7478571
miR5641,9022851,9022876,9022897,9023268,9023289
miR860,9098788,9098813,9098834,9098876,9098897
miR8177,9362680,9362655,9362633,9362576,9362557
miR5657,9789560,9789585,9789610,9789642,9789663
miR5027,10943898,10943923,10943944,10944019,10944040
miR854b,11324613,11324588,11324567,11324391,11324368
miR5643a,11667776,11667801,11667824,11667857,11667878
miR854d,11690104,11690079,11690058,11689882,11689859
miR5643b,11757242,11757217,11757194,11757162,11757141
miR854c,11838073,11838098,11838119,11838294,11838317
miR854a,11847696,11847721,11847742,11847917,11847940
miR854e,11942444,11942469,11942490,11942665,11942688
miR5029,12268519,12268544,12268565,12268647,12268668
miR2937,13622545,13622570,13622590,13622669,13622690
miR5638b,14099882,14099907,14099928,14100017,14100038
miR5645f,14947124,14947099,14947079,14946755,14946737
miR3933,15758086,15758111,15758132,15758168,15758189
miR169c,15870913,15870888,15870867,15870692,15870671
miR869.1,15891848,15891823,15891802,15891645,15891624
miR869.2,15891859,15891834,15891813,15891634,15891613
miR5659,16409884,16409859,16409837,16409826,16409803
miR5644,16649971,16649996,16650016,16650118,16650139
miR319b,16660662,16660637,16660616,16660489,16660468
miR166f,17516285,17516310,17516331,17516378,17516399
miR5628,17985856,17985881,17985902,17985946,17985967
miR5665,19499517,19499492,19499471,19499113,19499092
miR2939,19566963,19566988,19567007,19567038,19567059
miR4243,19567202,19567227,19567248,19567326,19567347
miR5015,20555020,20554995,20554974,20554953,20554932
miR405b,20632528,20632553,20632577,20632583,20632607
miR4245,21161485,21161510,21161531,21161609,21161630
miR8181,21641333,21641308,21641288,21641192,21641175
miR2938,22251938,22251913,22251891,22251847,22251826
miR156h,22597131,22597106,22597086,22597040,22597019
miR8167e,23431799,23431774,23431751,23431724,23431702
miR8167f,24002335,24002310,24002287,24002260,24002238
miR420,25230689,25230664,25230643,25230590,25230567
miR166g,25504790,25504815,25504836,25504882,25504903
